"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
139	"RFCD250200"	100	"SEO780103"	100	492057	"CHIEF_INVESTIGATOR"	"1965"	"AsiaPacific"	"OtherLang"	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	1	2	0	0	12	4
140	"RFCD320701"	100	"SEO730104"	50	80502	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	"Dept2578"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	2	3	1
141	NA	NA	NA	NA	68817	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration10to15"	0	2	3	10	4	1
142	"RFCD270199"	40	"SEO780105"	30	68512	"CHIEF_INVESTIGATOR"	"1945"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
143	"RFCD270603"	20	"SEO730106"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
144	"RFCD321004"	50	"SEO730114"	50	64277	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2973"	"Faculty25"	"Yes "	"Duration10to15"	0	0	17	9	2	4
145	"RFCD320700"	100	"SEO730104"	50	783297	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2538"	"Faculty25"	""	"DurationLT0"	1	0	0	0	0	0
146	"RFCD320703"	50	"SEO730113"	100	16332	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	2	0
147	"RFCD330104"	60	"SEO749906"	60	393152	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationLT0"	0	1	0	0	0	0
148	"RFCD321204"	100	"SEO730211"	40	65712	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	NA	"Dept2523"	"Faculty25"	""	"DurationGT15"	0	1	0	2	4	2
149	"RFCD320702"	100	"SEO730104"	100	40947	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	"English"	"Dept2653"	"Faculty25"	"Yes "	"Duration0to5"	0	2	3	2	0	1
150	"RFCD321019"	50	"SEO730399"	80	93802	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	1	13
151	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
152	NA	NA	NA	NA	159607	"CHIEF_INVESTIGATOR"	"1955"	"TheAmericas"	"OtherLang"	"Dept2553"	"Faculty25"	"Yes "	"Duration0to5"	0	2	0	5	5	5
153	"RFCD321006"	50	"SEO730110"	50	6712	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2563"	"Faculty25"	""	"DurationLT0"	1	1	0	1	1	1
154	"RFCD321201"	100	"SEO730208"	100	34177	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2523"	"Faculty25"	""	"Duration0to5"	0	2	2	1	0	10
155	NA	NA	NA	NA	624752	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	NA	NA	""	"DurationUnk"	0	1	1	1	1	0
156	"RFCD270106"	30	"SEO730108"	80	107667	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"Duration0to5"	1	0	1	2	1	0
157	"RFCD321028"	50	"SEO730108"	50	86302	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	0	5	1	0	0	0
158	"RFCD320000"	25	"SEO730101"	90	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
159	"RFCD240499"	80	"SEO671401"	60	500137	"CHIEF_INVESTIGATOR"	"1975"	"NorthAmerica"	NA	"Dept3198"	"Faculty31"	""	"DurationUnk"	1	0	2	0	0	0
160	"RFCD270603"	40	"SEO730204"	40	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
161	"RFCD270208"	100	"SEO780105"	100	34737	"CHIEF_INVESTIGATOR"	"1970"	"NorthAmerica"	NA	"Dept2603"	"Faculty25"	"Yes "	"DurationLT0"	1	5	1	6	6	1
162	"RFCD321202"	20	"SEO730213"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
163	"RFCD320502"	100	"SEO730106"	100	122392	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"DurationLT0"	0	2	0	0	0	0
164	"RFCD270103"	100	"SEO730102"	80	30772	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	0	0	3	2	0	0
165	"RFCD300508"	100	"SEO730101"	100	63962	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"DurationGT15"	2	0	1	16	7	3
166	"RFCD380299"	51	"SEO751099"	70	145057	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept593"	"Faculty7"	"Yes "	"Duration0to5"	1	0	0	0	0	0
167	"RFCD339999"	100	"SEO659999"	100	25947	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1038"	"Faculty1"	""	"DurationUnk"	1	1	0	0	0	0
168	"RFCD270304"	100	"SEO730101"	50	46377	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2763"	"Faculty25"	""	"DurationUnk"	0	1	2	1	0	0
169	"RFCD259904"	80	"SEO780103"	100	15162	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	0	0	22	2	2	1
170	"RFCD260502"	20	"SEO770703"	30	4702	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1033"	"Faculty1"	"Yes "	"Duration5to10"	0	1	8	7	6	0
171	"RFCD321099"	100	"SEO730201"	60	147722	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	"Dept2923"	"Faculty25"	""	"DurationLT0"	0	0	0	1	2	0
172	"RFCD250103"	100	"SEO780103"	100	89472	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	1	1	15	1	3	0
173	"RFCD230204"	50	"SEO730201"	100	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
174	"RFCD320701"	60	"SEO730113"	70	72317	"CHIEF_INVESTIGATOR"	"1950"	"GreatBritain"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration10to15"	1	0	7	4	4	0
175	"RFCD260501"	30	"SEO770802"	30	917	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3123"	"Faculty31"	""	"DurationLT0"	1	1	1	1	1	0
176	"RFCD270306"	50	"SEO770806"	60	71442	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration0to5"	1	1	0	1	3	1
177	"RFCD440205"	100	"SEO749999"	100	67412	"CHIEF_INVESTIGATOR"	"1960"	"AsiaPacific"	"English"	"Dept548"	"Faculty7"	"Yes "	"Duration10to15"	0	2	0	1	0	0
178	"RFCD270603"	50	"SEO730105"	100	78817	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"DurationGT15"	2	0	4	8	6	2
179	"RFCD240301"	60	"SEO780102"	60	4302	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3198"	"Faculty31"	"Yes "	"Duration10to15"	1	1	2	7	6	3
180	"RFCD270203"	50	"SEO630502"	50	500157	"PRINCIPAL_SUPERVISOR"	"1970"	"Australia"	"English"	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	0	0	9	0	1	0
181	"RFCD270603"	50	"SEO730106"	100	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
182	NA	NA	NA	NA	69212	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"DurationGT15"	0	1	0	1	4	0
183	NA	NA	NA	NA	17622	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2568"	"Faculty25"	""	"DurationUnk"	0	2	4	14	10	5
184	"RFCD280104"	70	"SEO700399"	55	77887	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3073"	"Faculty31"	"Yes "	"Duration0to5"	0	1	0	1	0	0
185	"RFCD321299"	80	"SEO730210"	20	20122	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	7	2	1
186	"RFCD250105"	50	"SEO730102"	50	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
187	"RFCD321004"	100	"SEO730105"	100	86672	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration0to5"	1	0	0	0	0	0
188	"RFCD270708"	100	"SEO771006"	100	68472	"PRINCIPAL_SUPERVISOR"	"1955"	"Australia"	NA	"Dept1033"	"Faculty1"	""	"DurationLT0"	0	1	0	7	7	0
189	"RFCD329903"	50	"SEO730107"	100	9227	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration0to5"	0	3	0	2	3	3
190	"RFCD280210"	40	"SEO700103"	40	28342	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2153"	"Faculty19"	"Yes "	"DurationLT0"	1	0	0	3	5	0
191	NA	NA	NA	NA	77327	"CHIEF_INVESTIGATOR"	"1935"	"Australia"	NA	"Dept653"	"Faculty7"	""	"DurationLT0"	0	1	0	6	0	0
192	"RFCD269901"	80	"SEO770802"	70	74142	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration5to10"	0	3	1	0	4	0
193	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
194	"RFCD321016"	50	"SEO730111"	50	67282	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration5to10"	0	2	4	3	4	3
195	NA	NA	NA	NA	11342	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	1	0
196	"RFCD320702"	100	"SEO780105"	100	55437	"CHIEF_INVESTIGATOR"	"1940"	"GreatBritain"	NA	"Dept2668"	"Faculty25"	"Yes "	"DurationLT0"	0	4	4	0	1	1
197	"RFCD321025"	40	"SEO730303"	40	79562	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2883"	"Faculty25"	"Yes "	"DurationGT15"	1	0	0	0	2	12
198	NA	NA	NA	NA	46697	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	"English"	"Dept498"	"Faculty7"	""	"DurationLT0"	0	1	0	0	0	0
199	"RFCD321021"	50	"SEO730211"	50	84622	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2973"	"Faculty25"	""	"Duration0to5"	0	3	8	6	1	2
200	"RFCD321021"	100	"SEO730211"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
201	"RFCD321015"	100	"SEO730108"	100	17342	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2828"	"Faculty25"	"Yes "	"Duration0to5"	0	7	2	13	13	3
202	"RFCD390305"	40	"SEO750502"	40	26887	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3658"	"Faculty22"	"Yes "	"Duration0to5"	2	0	2	4	2	1
203	"RFCD321206"	100	"SEO730213"	50	649042	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	3	0	0	0	0	0
204	"RFCD390111"	50	"SEO750599"	50	8667	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3658"	"Faculty22"	"Yes "	"Duration5to10"	0	1	0	4	0	0
205	"RFCD380399"	90	"SEO780108"	90	99052	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3273"	"Faculty31"	"Yes "	"Duration0to5"	1	0	7	1	2	0
206	"RFCD410101"	80	"SEO750201"	80	67182	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept3708"	"Faculty10"	""	"DurationLT0"	0	1	0	2	2	1
207	"RFCD291702"	50	"SEO700103"	40	135457	"CHIEF_INVESTIGATOR"	"1975"	"WesternEurope"	NA	"Dept3198"	"Faculty31"	""	"DurationLT0"	0	0	0	0	9	1
208	NA	NA	NA	NA	98212	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"DurationGT15"	1	1	9	7	3	0
209	"RFCD350603"	100	"SEO710403"	100	44022	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3508"	"Faculty4"	""	"DurationUnk"	1	3	0	0	2	0
210	"RFCD360105"	70	"SEO750701"	40	69657	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	"English"	"Dept828"	"Faculty7"	"Yes "	"DurationGT15"	2	3	0	2	9	3
211	NA	NA	NA	NA	67932	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	6	10	7	6
212	"RFCD270203"	100	"SEO730108"	50	15287	"CHIEF_INVESTIGATOR"	"1970"	"NorthAmerica"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	1	1	1	7	4	0
213	NA	NA	"SEO730213"	50	79217	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2828"	"Faculty25"	""	"DurationLT0"	1	1	3	1	0	0
214	"RFCD321216"	50	"SEO730211"	70	813567	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	"Dept2533"	"Faculty25"	"Yes "	"DurationLT0"	1	0	1	1	1	1
215	"RFCD210000"	50	"SEO730199"	100	145857	"CHIEF_INVESTIGATOR"	"1965"	"EasternEurope"	"OtherLang"	"Dept2678"	"Faculty25"	""	"DurationLT0"	1	0	1	3	1	1
216	"RFCD440104"	50	"SEO750403"	50	43597	"CHIEF_INVESTIGATOR"	"1965"	"SouthAfrica"	NA	"Dept803"	"Faculty7"	""	"DurationLT0"	0	1	5	13	5	4
217	"RFCD270103"	100	"SEO780105"	100	24017	"PRINCIPAL_SUPERVISOR"	"1970"	"Australia"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	1	6	2	2	0
218	"RFCD270299"	33	"SEO730212"	50	77977	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	0	0	9	1	0
219	"RFCD320299"	100	"SEO730110"	100	9757	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration5to10"	0	0	8	5	2	1
220	"RFCD340204"	60	"SEO730302"	50	34417	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1578"	"Faculty13"	"Yes "	"Duration0to5"	0	0	5	6	1	0
221	"RFCD270501"	75	"SEO770504"	100	85642	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	1	5	16	21	24	6
222	"RFCD250103"	40	"SEO640301"	33	14757	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2053"	"Faculty19"	""	"DurationLT0"	0	0	3	3	2	1
223	"RFCD270401"	40	"SEO770302"	50	79747	"CHIEF_INVESTIGATOR"	"1940"	"NorthAmerica"	NA	"Dept3028"	"Faculty31"	""	"DurationLT0"	0	1	0	3	8	4
224	"RFCD320603"	33	"SEO730106"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
225	"RFCD240201"	50	"SEO780102"	80	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
226	"RFCD321014"	100	"SEO730201"	50	74372	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2893"	"Faculty25"	""	"Duration0to5"	0	0	5	17	7	2
227	"RFCD321016"	100	"SEO730105"	100	67282	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration5to10"	0	2	4	3	4	3
228	"RFCD270603"	80	"SEO730105"	100	73402	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept3268"	"Faculty31"	"Yes "	"Duration5to10"	0	1	3	8	1	0
229	"RFCD320705"	80	"SEO730104"	90	73547	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2578"	"Faculty25"	""	"DurationLT0"	0	2	4	10	4	6
230	"RFCD321008"	100	"SEO730103"	100	641012	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2853"	"Faculty25"	""	"Duration0to5"	0	0	0	0	0	0
231	"RFCD320899"	100	"SEO730214"	100	8377	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	"English"	"Dept2553"	"Faculty25"	"Yes "	"Duration5to10"	1	0	3	3	0	1
232	"RFCD321015"	100	"SEO730108"	100	27757	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"Duration5to10"	2	0	8	5	4	0
233	"RFCD430101"	100	"SEO750901"	100	67097	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept653"	"Faculty7"	"Yes "	"Duration10to15"	1	0	0	2	0	0
234	"RFCD320702"	100	NA	NA	25117	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"DurationLT0"	1	0	2	4	2	3
235	NA	NA	NA	NA	64507	"HONVISIT"	"1955"	"Australia"	NA	"Dept2763"	"Faculty25"	""	"DurationLT0"	0	0	0	0	0	0
236	"RFCD321202"	100	"SEO730306"	100	117502	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"DurationLT0"	0	1	0	0	0	0
237	"RFCD240401"	50	"SEO780102"	60	5382	"CHIEF_INVESTIGATOR"	"1965"	"AsiaPacific"	NA	"Dept3198"	"Faculty31"	""	"DurationUnk"	1	0	3	4	3	0
238	"RFCD300199"	100	"SEO770702"	100	491327	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration0to5"	0	2	0	5	0	0
239	"RFCD320207"	50	"SEO730105"	80	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
240	"RFCD210000"	40	"SEO740100"	40	4302	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3198"	"Faculty31"	"Yes "	"Duration10to15"	1	1	2	7	6	3
241	"RFCD320899"	100	"SEO730214"	100	74047	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration10to15"	1	1	1	2	0	1
242	"RFCD270802"	90	"SEO671704"	50	74372	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2893"	"Faculty25"	""	"Duration0to5"	0	0	5	17	7	2
243	"RFCD270199"	80	"SEO780105"	70	65657	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	2	0	2	0
244	"RFCD320702"	80	"SEO730104"	90	73547	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2578"	"Faculty25"	""	"DurationLT0"	0	2	4	10	4	6
245	"RFCD250103"	100	"SEO780103"	100	89472	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	1	1	15	1	3	0
246	"RFCD321202"	20	"SEO730218"	30	80817	"CHIEF_INVESTIGATOR"	"1945"	NA	NA	NA	NA	""	"DurationUnk"	0	0	2	0	1	0
247	"RFCD320207"	100	"SEO730114"	50	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
248	"RFCD320702"	100	"SEO730104"	100	4502	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2668"	"Faculty25"	""	"Duration0to5"	1	2	4	8	15	2
249	"RFCD230107"	60	"SEO780101"	60	64307	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3098"	"Faculty31"	"Yes "	"DurationGT15"	1	0	6	7	0	2
250	"RFCD320899"	100	"SEO730214"	100	22707	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	1	4	1	3
251	"RFCD321013"	60	"SEO730104"	80	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
252	"RFCD270203"	40	"SEO780105"	50	8012	"CHIEF_INVESTIGATOR"	"1960"	"WesternEurope"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration5to10"	1	1	0	0	0	1
253	NA	NA	NA	NA	614142	"CHIEF_INVESTIGATOR"	"1980"	NA	NA	"Dept2578"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
254	"RFCD230119"	50	"SEO671299"	50	10522	"CHIEF_INVESTIGATOR"	"1965"	"EasternEurope"	"OtherLang"	"Dept2153"	"Faculty19"	"Yes "	"Duration5to10"	1	0	19	9	1	0
255	"RFCD269901"	80	"SEO770802"	70	74142	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration5to10"	0	3	1	0	4	0
256	"RFCD291501"	50	"SEO730305"	50	593492	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	1	1	1
257	"RFCD210000"	50	"SEO730108"	50	176127	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"DurationLT0"	1	0	1	0	0	1
258	"RFCD321099"	50	"SEO730105"	70	636257	"CHIEF_INVESTIGATOR"	"1980"	NA	NA	"Dept2678"	"Faculty25"	""	"DurationLT0"	1	0	2	1	0	0
259	NA	NA	NA	NA	734322	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	"Dept2603"	"Faculty25"	""	"DurationLT0"	0	5	0	0	0	0
260	"RFCD270603"	50	"SEO730106"	100	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
261	"RFCD390105"	100	"SEO750599"	100	2252	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3658"	"Faculty22"	""	"Duration10to15"	1	1	3	0	10	2
262	"RFCD321016"	100	NA	NA	9402	"PRINCIPAL_SUPERVISOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	7	3
263	NA	NA	NA	NA	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	4	0	0	0	0
264	"RFCD260109"	50	"SEO770101"	60	5287	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3123"	"Faculty31"	"Yes "	"Duration0to5"	2	1	8	3	1	0
265	"RFCD370105"	50	"SEO780107"	100	11837	"PRINCIPAL_SUPERVISOR"	"1950"	"Australia"	NA	"Dept1033"	"Faculty1"	"Yes "	"Duration5to10"	0	0	0	0	0	2
266	"RFCD270304"	100	"SEO730101"	100	28622	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2628"	"Faculty25"	"Yes "	"Duration0to5"	1	0	0	4	0	2
267	"RFCD320207"	100	"SEO730114"	50	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
268	"RFCD321006"	50	"SEO730110"	50	6712	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2563"	"Faculty25"	""	"DurationLT0"	1	1	0	1	1	1
269	"RFCD330101"	100	"SEO740201"	50	70322	"CHIEF_INVESTIGATOR"	"1945"	"EasternEurope"	NA	"Dept2298"	"Faculty46"	"Yes "	"Duration10to15"	1	0	0	0	5	6
270	"RFCD320401"	50	"SEO730101"	80	82527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2628"	"Faculty25"	"Yes "	"Duration10to15"	1	0	2	2	0	0
271	"RFCD270205"	100	"SEO630106"	70	4797	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2853"	"Faculty25"	""	"DurationLT0"	2	0	0	2	0	1
272	"RFCD270199"	100	"SEO730108"	100	44697	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	2	0	1	1	0	0
273	NA	NA	NA	NA	76022	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration5to10"	1	2	12	5	0	0
274	"RFCD280102"	100	"SEO729901"	80	64077	"CHIEF_INVESTIGATOR"	"1945"	"AsiaPacific"	NA	"Dept3073"	"Faculty31"	"Yes "	"DurationGT15"	0	1	1	2	0	0
275	NA	NA	NA	NA	64777	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"DurationGT15"	0	2	2	9	8	5
276	"RFCD270000"	100	"SEO730108"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
277	"RFCD239901"	100	"SEO730104"	100	28607	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	2	1	1	11	4	5
278	"RFCD320502"	60	"SEO671704"	100	80387	"CHIEF_INVESTIGATOR"	"1945"	"GreatBritain"	NA	"Dept3258"	"Faculty31"	""	"DurationUnk"	0	1	2	0	0	0
279	"RFCD300104"	50	"SEO770706"	60	71442	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration0to5"	1	1	0	1	3	1
